,course,rating,students,level,university,skills
73,Build a Fast Typing Game using Java Swing,None,None,Beginner,Coursera Project Network,Java
74,Create Your First Multithreaded Application in Java,4.5,"3,9 mil",Intermediate,Coursera Project Network,Java
75,Automate an e-commerce web application using Selenium & Java,4.7,"2,2 mil",Beginner,Coursera Project Network,Java
76,Introduction to Javascript: The Basics,4.3,"8,9 mil",Beginner,Coursera Project Network,Java
77,JavaScript Security Part 2,None,None,Intermediate,Infosec,Java
78,Desenvolvimento Ágil com Java Avançado,4.7,14 mil,Intermediate,Instituto Tecnológico de Aeronáutica,Java
79,Programando con Java para aplicaciones Android,4.7,59 mil,Mixed,Universidad Nacional Autónoma de México,Java
80,Animation with JavaScript and jQuery,4.7,3 mil,Beginner,"University of California, Davis",Java
81,Create a Supermarket app using OOP Features in Java,4.7,None,Intermediate,Coursera Project Network,Java
82,Create a Supermarket app using Java OOP,4.6,None,Intermediate,Coursera Project Network,Java
83,JavaScript Essentials For Beginners,3.7,None,Beginner,Coursera Project Network,Java
84,JavaScript Security Part 3,None,None,Intermediate,Infosec,Java
85,Become a JavaScript Pro with these 7 Skills,4.4,"5,5 mil",Intermediate,Coursera Project Network,Java
86,"Javascript animation for websites, storytelling, data visualization and games",4.3,10 mil,Intermediate,Coursera Project Network,Java
87,Build Sports Management System using JavaFX,None,None,Beginner,Coursera Project Network,Java
88,Java Class Library,4.6,"2,7 mil",Intermediate,LearnQuest,Java
89,Learn About JSON with JavaScript,4.5,None,Beginner,Coursera Project Network,Java
90,Distributed Programming in Java,4.6,19 mil,Intermediate,Rice University,Java
91,Introduction to Java as a Second Language,4.4,"1,6 mil",Intermediate,LearnQuest,Java
92,The Java Language,4.3,None,Intermediate,LearnQuest,Java
93,Writing Java Application Code,4.4,"1,5 mil",Intermediate,LearnQuest,Java
94,Data Manipulation in JavaScript,4.7,"2,1 mil",Beginner,"University of California, Davis",Java
95,Web Application Development with JavaScript and MongoDB,4.6,59 mil,Mixed,University of London,Java
96,Object-Oriented Hierarchies in Java,4.8,"2,7 mil",Intermediate,LearnQuest,Java
97,Upgrade Your JavaScript OOP to TypeScript,None,None,Intermediate,Coursera Project Network,Java
98,Programando un blockchain básico con Javascript,4.6,None,Beginner,Coursera Project Network,Java
99,Exception Handling in Java,4.8,None,Beginner,Coursera Project Network,Java
100,Building a Text-Based Bank in Java,4.5,"7,7 mil",Beginner,Coursera Project Network,Java
101,Introduction to JavaScript,4.5,3 mil,Beginner,Coursera Project Network,Java
102,Learn Javascript - 21 Essential Array Methods,4.5,None,Beginner,Coursera Project Network,Java
103,"Build ""Guess The Color"" game using JavaScript, HTML and CSS",None,None,Intermediate,Coursera Project Network,Java
104,JavaScript Debugging Tips for Beginners,4.5,None,Intermediate,Coursera Project Network,Java
105,Java Programming: Build a Recommendation System,4.7,25 mil,Intermediate,Duke University,Java
106,Créer Une App. À L’aide Des fonctionnalités OOP en Java,None,None,Intermediate,Coursera Project Network,Java
107,Creating a Quiz Game using Vanilla JavaScript,None,None,Beginner,Coursera Project Network,Java
108,Les Expressions Lambda et Java,None,None,Beginner,Coursera Project Network,Java
109,"Learn to Teach Java: Sequences, Primitive Types and Using Objects",4.9,4 mil,Beginner,University of California San Diego,Java
110,"Learn to Teach Java: Boolean Expressions, If Statements, and Iteration",None,None,Beginner,University of California San Diego,Java
111,Interactivity with JavaScript and jQuery,4.9,"2,3 mil",Mixed,"University of California, Davis",Java
112,Introduction to Java Programming: Java Fundamental Concepts,4.5,"4,5 mil",Beginner,Coursera Project Network,Java
113,Building Interactive Web Pages Using Modern JavaScript,None,None,Beginner,NIIT StackRoute,Java
114,Java Built in Data Structures,4.6,None,Intermediate,Coursera Project Network,Java
115,Java Basics: Selection and Iteration,4.3,2 mil,Beginner,Codio,Java
116,Process Student Details using Inheritance in Java,4.4,None,Intermediate,Coursera Project Network,Java
117,Use Python and Java to Create a GUI Application,None,None,Intermediate,Coursera Project Network,Java
118,Java Arrays and Loops,4.4,None,Intermediate,Coursera Project Network,Java
119,Create a Record of Students using Abstraction in Java,None,None,Intermediate,Coursera Project Network,Java
120,Process Personal Details using Methods in Java,4.6,None,Intermediate,Coursera Project Network,Java
121,"Java Basic Structures: Arrays, Strings, and Files",4.3,None,Beginner,Codio,Java
122,Projet de programmation (en Java),4.7,"3,8 mil",Intermediate,École Polytechnique Fédérale de Lausanne,Java
123,Java Classes and Objects,4.7,"2,8 mil",Intermediate,Coursera Project Network,Java
124,Create a Record of Students using Arrays in Java,4.7,"1,7 mil",Intermediate,Coursera Project Network,Java
125,"Java Inheritance, Composition and Aggregation",3.8,None,Intermediate,Coursera Project Network,Java
126,Analyse datasets with Java streams,None,None,Intermediate,Coursera Project Network,Java
127,Unit Testing in Java,4.7,None,Beginner,Coursera Project Network,Java
128,Hosting a Static Website (HTML/CSS/Javascript) in AWS S3,4.5,None,Beginner,Coursera Project Network,Java
129,Build Your First GUI App With Java,None,None,Intermediate,Coursera Project Network,Java
130,Create a Picture Puzzle using Java Swing,None,None,Beginner,Coursera Project Network,Java
131,Java Decision Programming,4.8,"2,8 mil",Intermediate,Coursera Project Network,Java
132,Perform basic data analysis tasks using Java streams,None,None,Intermediate,Coursera Project Network,Java
133,Object-Oriented Java: Inheritance and Encapsulation,None,None,Intermediate,Codio,Java
134,برمجة Java: حل المشكلات باستخدام البرامج,None,None,Beginner,Duke University,Java
135,Introduction To Java Database Connectivity - JDBC,4.3,None,Advanced,Coursera Project Network,Java
136,"Java Object Basics: Functions, Recursion, and Objects",None,None,Intermediate,Codio,Java
137,School Registry using Object Oriented Programming in Java,None,None,Intermediate,Coursera Project Network,Java
138,Learn Java and JavaFX by creating a Graphical Calculator,4.6,None,Beginner,Coursera Project Network,Java
139,Java Database Connectivity (JDBC) Introduction,None,None,Beginner,LearnQuest,Java
140,Test Driven Development in Java for Beginners,None,None,Beginner,Coursera Project Network,Java
141,Learn to Teach Java: Writing Classes and Arrays,4.8,"2,2 mil",Beginner,University of California San Diego,Java
142,Build a Guessing Game Application using Java,4.5,None,Intermediate,Coursera Project Network,Java
143,برمجة Java: المصفوفات، والقوائم، والبيانات المصنفة,None,None,Beginner,Duke University,Java
144,Modern JavaScript: Iterators and Generators,5,None,Advanced,Coursera Project Network,Java
145,JavaScript Numbers: Properties and Methods,4.9,None,Beginner,Coursera Project Network,Java
146,JavaScript Strings: Properties and Methods,4.8,None,Beginner,Coursera Project Network,Java
147,JavaScript For Loop,4.3,None,Intermediate,Coursera Project Network,Java
148,Learn to Teach Java: Inheritance and Recursion,4.7,"1,5 mil",Beginner,University of California San Diego,Java
149,Crea una página web interactiva con JavaScript,None,None,Beginner,Coursera Project Network,Java
150,Quick resumeCreator with JavaScript,3.7,"1,7 mil",Beginner,Coursera Project Network,Java
