,course,rating,students,level,university,skills
1103,Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate 日本語版,4.5,4.9,Intermediate,Google Cloud,Machine Learning
1104,Extended Reality for Everybody,4.6,9.8,Beginner,University of Michigan,Machine Learning
1105,Building Cloud Computing Solutions at Scale,4.5,9.2,Intermediate,Duke University,Machine Learning
1106,TensorFlow 2 for Deep Learning,4.9,30.0,Intermediate,Imperial College London,Machine Learning
1107,"Data Engineering, Big Data and ML on Google Cloud 日本語版",4.5,4.7,Intermediate,Google Cloud,Machine Learning
1108,A Crash Course in Causality: Inferring Causal Effects from Observational Data,4.7,30.0,Intermediate,University of Pennsylvania,Machine Learning
1109,"Open Source Software Development, Linux and Git",4.5,58.0,Beginner,The Linux Foundation,Machine Learning
1110,Process Mining: Data science in Action,4.7,63.0,Intermediate,Eindhoven University of Technology,Machine Learning
1111,Business Analytics,4.6,57.0,Beginner,University of Illinois at Urbana-Champaign,Machine Learning
1112,Analyze Datasets and Train ML Models using AutoML,4.5,14.0,Advanced,DeepLearning.AI,Machine Learning
1113,Responsive Website Development and Design,4.5,250.0,Beginner,University of London,Machine Learning
1114,程序设计与算法,4.8,93.0,Beginner,Peking University,Machine Learning
1115,Swift 5 iOS Application Developer,4.5,23.0,Beginner,LearnQuest,Machine Learning
1116,Unity XR: How to Build AR and VR Apps,4.1,30.0,Beginner,Unity,Machine Learning
1117,Natural Language Processing with Probabilistic Models,4.7,43.0,Intermediate,DeepLearning.AI,Machine Learning
1118,Embedding Sensors and Motors,4.6,61.0,Intermediate,University of Colorado Boulder,Machine Learning
1119,Data Science with Databricks for Data Analysts,4.5,14.0,Intermediate,Databricks,Machine Learning
1120,AI & Law,4.7,9.4,Mixed,Lund University,Machine Learning
1121,Analytics for Decision Making,4.7,4.8,Beginner,University of Minnesota,Machine Learning
1122,Introduction to Artificial Intelligence (AI),4.7,160.0,Beginner,IBM,Machine Learning
1123,Машинное обучение: от статистики до нейросетей,4.4,6.1,Intermediate,HSE University,Machine Learning
1124,Artificial Intelligence in Marketing,4.6,8.7,Beginner,University of Virginia,Machine Learning
