,course,rating,students,level,university,skills
95,Google Cloud Big Data and Machine Learning Fundamentals 日本語版,4.5,"4,5 mil",Intermediate,Google Cloud,Machine Learning
96,MLOps (Machine Learning Operations) Fundamentals,4,24 mil,Intermediate,Google Cloud,Machine Learning
97,Fundamentals of Machine Learning in Finance,3.8,17 mil,Intermediate,New York University,Machine Learning
98,Production Machine Learning Systems,4.6,21 mil,Advanced,Google Cloud,Machine Learning
99,Employee Attrition Prediction Using Machine Learning,None,None,Beginner,Coursera Project Network,Machine Learning
100,Practical Machine Learning,4.5,140 mil,Mixed,Johns Hopkins University,Machine Learning
101,Building Machine Learning Pipelines in PySpark MLlib,4.3,"2,5 mil",Intermediate,Coursera Project Network,Machine Learning
102,End-to-End Machine Learning with TensorFlow on GCP,4.5,54 mil,Advanced,Google Cloud,Machine Learning
103,Microsoft Azure Machine Learning for Data Scientists,4.6,None,Intermediate,Microsoft,Machine Learning
104,Build a Machine Learning Web App with Streamlit and Python,4.7,"9,9 mil",Intermediate,Coursera Project Network,Machine Learning
105,Machine Learning: Regression,4.8,150 mil,Mixed,University of Washington,Machine Learning
106,Predictive Modeling and Machine Learning with MATLAB,4.8,11 mil,Intermediate,MathWorks,Machine Learning
107,Microsoft Azure Machine Learning,4.7,"3,3 mil",Beginner,Microsoft,Machine Learning
108,Algoritmos de negociación basados en machine learning,None,None,Intermediate,Universidad de los Andes,Machine Learning
109,Machine Learning Aplicado ao Marketing,None,None,Beginner,Fundação Instituto de Administração,Machine Learning
110,Cloud Machine Learning Engineering and MLOps,4.5,"1,7 mil",Intermediate,Duke University,Machine Learning
111,Statistics for Machine Learning for Investment Professionals,None,None,Beginner,CFA Institute,Machine Learning
112,Python and Machine-Learning for Asset Management with Alternative Data Sets,4.4,11 mil,Intermediate,EDHEC Business School,Machine Learning
113,Machine Learning Models in Science,4,None,Intermediate,LearnQuest,Machine Learning
114,Art and Science of Machine Learning,4.6,23 mil,Intermediate,Google Cloud,Machine Learning
115,Build and Operate Machine Learning Solutions with Azure,None,None,Intermediate,Microsoft,Machine Learning
116,Predictive Modelling with Azure Machine Learning Studio,4.5,"9,5 mil",Beginner,Coursera Project Network,Machine Learning
117,Fundamentals of Machine Learning for Supply Chain,3.9,None,Beginner,LearnQuest,Machine Learning
118,Google Cloud Big Data and Machine Learning Fundamentals en Français,4.3,2 mil,Intermediate,Google Cloud,Machine Learning
119,機器學習基石下 (Machine Learning Foundations)---Algorithmic Foundations,4.9,14 mil,Intermediate,National Taiwan University,Machine Learning
120,Applying Machine Learning to your Data with GCP,4.7,16 mil,Intermediate,Google Cloud,Machine Learning
121,Machine Learning With Big Data,4.6,63 mil,Mixed,University of California San Diego,Machine Learning
122,Life Expectancy Prediction Using Machine Learning,None,None,Beginner,Coursera Project Network,Machine Learning
123,Interpretable Machine Learning Applications: Part 1,4,None,Beginner,Coursera Project Network,Machine Learning
124,Using R for Regression and Machine Learning in Investment,None,None,Intermediate,Sungkyunkwan University,Machine Learning
125,Interactive Machine Learning Dashboards using Plotly Dash,4.4,None,Intermediate,Coursera Project Network,Machine Learning
126,Google Cloud Big Data and Machine Learning Fundamentals en Español,4.7,18 mil,Intermediate,Google Cloud,Machine Learning
127,Explainable Machine Learning with LIME and H2O in R,4.7,2 mil,Intermediate,Coursera Project Network,Machine Learning
128,Managing Machine Learning Projects with Google Cloud,4.6,110 mil,Beginner,Google Cloud,Machine Learning
129,"Smart Analytics, Machine Learning, and AI on GCP 日本語版",4.6,None,Intermediate,Google Cloud,Machine Learning
130,Practical Machine Learning on H2O,4.5,"7,5 mil",Intermediate,H2O,Machine Learning
131,Ensemble Methods in Machine Learning,4.2,None,Intermediate,Coursera Project Network,Machine Learning
132,Intermediate Machine Learning: TensorFlow on Google Cloud,4.4,None,Intermediate,Google Cloud,Machine Learning
133,Machine Learning: Classification,4.7,110 mil,Mixed,University of Washington,Machine Learning
134,Machine Learning - Anomaly Detection via PyCaret,None,None,Intermediate,Coursera Project Network,Machine Learning
135,Machine Learning for Accounting with Python,4.5,"6,6 mil",Intermediate,University of Illinois at Urbana-Champaign,Machine Learning
136,Train Machine Learning Models,None,None,Intermediate,CertNexus,Machine Learning
137,Machine Learning for Kyphosis Disease Classification,None,None,Beginner,Coursera Project Network,Machine Learning
138,Machine Learning for Investment Professionals,None,None,Beginner,CFA Institute,Machine Learning
139,Launching Machine Learning: Delivering Operational Success with Gold Standard ML Leadership,4.9,"3,4 mil",Beginner,SAS,Machine Learning
140,How Google does Machine Learning en Español,4.6,"6,2 mil",Intermediate,Google Cloud,Machine Learning
141,"AI Workflow: Machine Learning, Visual Recognition and NLP",4.4,"3,1 mil",Advanced,IBM,Machine Learning
142,Data Science on Google Cloud: Machine Learning,2.3,None,Advanced,Google Cloud,Machine Learning
143,Machine Learning: Clustering & Retrieval,4.7,88 mil,Mixed,University of Washington,Machine Learning
144,Build your first Machine Learning Pipeline using Dataiku,4.6,None,Beginner,Coursera Project Network,Machine Learning
145,Business Application of Machine Learning and Artificial Intelligence in Healthcare,4.2,"5,7 mil",Intermediate,Northeastern University,Machine Learning
146,Machine Learning for Data Analysis,4.2,42 mil,Mixed,Wesleyan University,Machine Learning
147,Solve Business Problems with AI and Machine Learning,4.7,2 mil,Intermediate,CertNexus,Machine Learning
148,Cervical Cancer Risk Prediction Using Machine Learning,4.7,None,Beginner,Coursera Project Network,Machine Learning
149,Explaining machine learning models,None,None,Intermediate,Coursera Project Network,Machine Learning
150,Automated Machine Learning en Power BI Clasificación,4.9,None,Intermediate,Coursera Project Network,Machine Learning
151,Visual Machine Learning with Yellowbrick,4.7,"3,6 mil",Intermediate,Coursera Project Network,Machine Learning
152,Diseñando modelos con Azure Machine Learning Studio,4.9,None,Beginner,Coursera Project Network,Machine Learning
153,Google Cloud Platform Big Data and Machine Learning Fundamentals em Português Brasileiro,4.8,2 mil,Intermediate,Google Cloud,Machine Learning
154,Naive Bayes 101: Resume Selection with Machine Learning,4.7,None,Intermediate,Coursera Project Network,Machine Learning
155,Interpretable Machine Learning Applications: Part 2,None,None,Beginner,Coursera Project Network,Machine Learning
156,Machine Learning con Spark (MLlib) en Databricks,None,None,Advanced,Coursera Project Network,Machine Learning
157,Introduction to Machine Learning in Sports Analytics,None,None,Intermediate,University of Michigan,Machine Learning
158,Launching into Machine Learning en Español,4.7,3 mil,Intermediate,Google Cloud,Machine Learning
159,How Google does Machine Learning en Français,4.3,None,Intermediate,Google Cloud,Machine Learning
160,Launching into Machine Learning en Français,4.5,None,Intermediate,Google Cloud,Machine Learning
161,Art and Science of Machine Learning en Français,None,None,Intermediate,Google Cloud,Machine Learning
162,Machine Learning Pipelines with Azure ML Studio,4.6,26 mil,Beginner,Coursera Project Network,Machine Learning
163,Introduction to Applied Machine Learning,4.7,20 mil,Intermediate,Alberta Machine Intelligence Institute,Machine Learning
164,Machine Learning Algorithms with R in Business Analytics,4.7,"1,5 mil",Intermediate,University of Illinois at Urbana-Champaign,Machine Learning
165,機器學習技法 (Machine Learning Techniques),4.9,"3,8 mil",Intermediate,National Taiwan University,Machine Learning
