,course,rating,students,level,university,skills
3047,Negociações de sucesso: estratégias e habilidades essenciais (em Português),4.9,70.0,Mixed,University of Michigan,Java
3048,Fundamentos de Finanzas Empresariales,4.9,160.0,Beginner,Universidad de los Andes,Java
3049,Model Thinking,4.8,180.0,Mixed,University of Michigan,Java
3050,Fundamentals of Computer Network Security,3.8,74.0,Intermediate,University of Colorado System,Java
3051,Explorando la Energía Sustentable,4.8,41.0,Beginner,Pontificia Universidad Católica de Chile,Java
3052,Introduction to Google Workspace Administration,4.7,36.0,Beginner,Google Cloud,Java
3053,Los Objetivos de Desarrollo Sostenible para las empresas,4.9,4.7,Beginner,Universidad de los Andes,Java
3054,Pricing Options with Mathematical Models,,,Intermediate,Caltech,Java
3055,Personalised Medicine from a Nordic Perspective,,,Intermediate,University of Copenhagen,Java
3056,Suicide Prevention,4.7,1.6,Beginner,Wesleyan University,Java
3057,Créer et développer une startup technologique,4.6,30.0,Mixed,École Polytechnique,Java
3058,New Learning: Principles and Patterns of Pedagogy,4.7,14.0,Beginner,University of Illinois at Urbana-Champaign,Java
3059,Global Disease Masterclass,4.8,6.7,Beginner,Imperial College London,Java
3060,Global Financial Markets and Instruments,4.6,81.0,Mixed,Rice University,Java
3061,Liderazgo efectivo para el siglo XXI,4.9,60.0,Intermediate,Universidad de los Andes,Java
3062,Mountains 101,4.9,68.0,Mixed,University of Alberta,Java
3063,Managers du changement,4.8,5.0,Beginner,ESSEC Business School,Java
3064,Research Data Management and Sharing,4.7,29.0,Mixed,The University of North Carolina at Chapel Hill,Java
3065,Álgebra básica,4.8,240.0,Mixed,Universidad Nacional Autónoma de México,Java
3066,Nanotechnology: A Maker’s Course,4.8,49.0,Mixed,Duke University,Java
3067,"The Effect of Fires on People, Property and the Environment",4.7,7.3,Mixed,"University of Maryland, College Park",Java
3068,Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,4.6,63.0,Mixed,The University of Edinburgh,Java
3069,Geopolitics of Europe,4.4,29.0,Mixed,Sciences Po,Java
3070,Advertising and Society,4.7,25.0,Mixed,Duke University,Java
3071,Wood Science: Beyond Building,4.6,17.0,Beginner,West Virginia University,Java
3072,Gestão de Operações,4.8,16.0,Beginner,Insper,Java
3073,Basic Statistics,4.6,250.0,Beginner,University of Amsterdam,Java
3074,Hands-on Machine Learning with Google Cloud Labs,3.8,3.0,Intermediate,Google Cloud,Java
3075,Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,4.8,58.0,Intermediate,Autodesk,Java
3076,"Faster Together, Enhancing the Recruitment of Minorities in Clinical Trials",4.8,2.5,Beginner,Vanderbilt University,Java
3077,Networking and Security Architecture with VMware NSX,4.7,45.0,Intermediate,VMware,Java
3078,Apprendre comment apprendre (ACA) : Des outils mentaux puissants qui vous aideront à maîtriser des sujets difficiles,4.8,26.0,Beginner,Deep Teaching Solutions,Java
3079,Data Visualization in Excel,4.9,17.0,Intermediate,Macquarie University,Java
3080,"Introduction to XR: VR, AR, and MR Foundations",4.2,22.0,Beginner,Unity,Java
3081,Web Application Technologies and Django,4.7,63.0,Intermediate,University of Michigan,Java
3082,"Unión Europea: Historia, Instituciones y Políticas",4.6,2.5,Beginner,Universitat Autònoma de Barcelona,Java
3083,Historia del Arte: Del Arte Prehistórico al Renacimiento,4.7,13.0,Beginner,Universidad de Palermo,Java
3084,Water Resources Management and Policy,4.6,34.0,Mixed,University of Geneva,Java
3085,Excel Power Tools for Data Analysis,4.9,15.0,Intermediate,Macquarie University,Java
3086,"Introduction to Containers w/ Docker, Kubernetes & OpenShift",4.4,24.0,Beginner,IBM,Java
3087,Data Science in Stratified Healthcare and Precision Medicine,4.6,18.0,Intermediate,The University of Edinburgh,Java
3088,Getting Started with Essay Writing,4.7,190.0,Mixed,"University of California, Irvine",Java
3089,Introduction aux Droits de l’Homme,4.8,59.0,Mixed,University of Geneva,Java
3090,Infrastructure and Application Modernization with Google Cloud,4.7,25.0,Beginner,Google Cloud,Java
3091,Art & Ideas: Teaching with Themes,4.8,45.0,Mixed,The Museum of Modern Art,Java
3092,Research for Impact,4.8,12.0,Beginner,University of Cape Town,Java
3093,The Finite Element Method for Problems in Physics,4.6,54.0,Intermediate,University of Michigan,Java
3094,"Excel/VBA for Creative Problem Solving, Part 2",4.9,32.0,Intermediate,University of Colorado Boulder,Java
3095,Habilidades de Excel para el negocio: Intermedio I,4.9,2.6,Intermediate,Macquarie University,Java
3096,Julia Scientific Programming,4.4,32.0,Beginner,University of Cape Town,Java
3097,Economie du sol et de l'immobilier I,4.7,14.0,Intermediate,École Polytechnique Fédérale de Lausanne,Java
3098,Getting Started with Data Analytics on AWS,4.6,9.8,Beginner,Amazon Web Services,Java
3099,Web Application Development: Basic Concepts,4.3,45.0,Mixed,University of New Mexico,Java
3100,Transformación digital,4.8,1.7,Beginner,BCG,Java
3101,Marketing de Mídias Sociais do Facebook,4.8,,Beginner,Meta,Java
3102,American Contract Law II,4.9,11.0,Beginner,Yale University,Java
3103,Introdução à Ciência da Computação com Python Parte 2,4.9,25.0,Beginner,Universidade de São Paulo,Java
3104,Making Sense of the News: News Literacy Lessons for Digital Citizens,4.8,18.0,Beginner,The University of Hong Kong,Java
3105,Wonders of Ancient Egypt,4.8,29.0,Intermediate,University of Pennsylvania,Java
3106,Lead Management in Salesforce,4.7,2.7,Beginner,Salesforce,Java
3107,Cybersecurity and Its Ten Domains,4.3,170.0,Beginner,University System of Georgia,Java
3108,A Life of Happiness and Fulfillment,4.8,430.0,Mixed,Indian School of Business,Java
3109,Budgétisation et planification de projets,4.7,2.3,Mixed,"University of California, Irvine",Java
3110,Sensors and Sensor Circuit Design,4.6,38.0,Advanced,University of Colorado Boulder,Java
3111,Habilidades de Excel para el negocio: Conceptos básicos,4.9,16.0,Beginner,Macquarie University,Java
3112,Introduction to Molecular Spectroscopy,4.7,43.0,Intermediate,University of Manchester,Java
3113,Product Management Essentials,4.6,3.2,Beginner,"University of Maryland, College Park",Java
3114,Patenting in Biotechnology,4.6,14.0,Beginner,Technical University of Denmark (DTU),Java
3115,Social Media Data Analytics,4.1,37.0,Intermediate,University of Washington,Java
3116,Initiation à la programmation (en C++),4.8,39.0,Beginner,École Polytechnique Fédérale de Lausanne,Java
3117,IBM Cloud Essentials,4.6,3.0,Mixed,IBM,Java
3118,Social Media and Digital Marketing Fundamentals,4.7,9.0,Beginner,Digital Marketing Institute,Java
